time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20170524:1500,17.04,50.1,423.0,386.06,216.0,361.4,1.45,331.0,99434.0
20170524:1600,17.06,51.6,167.0,16.47,160.0,351.6,0.9,350.0,99415.0
20170524:1700,16.49,58.6,101.0,6.53,99.0,357.0,0.69,11.0,99415.0
20170524:1800,15.46,65.0,61.0,10.66,59.0,353.2,1.31,25.0,99454.0
20170524:1900,14.62,70.6,4.0,0.0,4.0,356.0,1.24,22.0,99513.0
20170524:2000,13.47,73.25,0.0,-0.0,0.0,346.2,1.31,19.0,99591.0
20170524:2100,12.53,75.95,0.0,-0.0,0.0,340.4,1.24,12.0,99660.0
20170524:2200,11.79,78.45,0.0,-0.0,0.0,331.6,1.31,1.0,99689.0
20170524:2300,10.9,81.6,0.0,-0.0,0.0,305.8,1.45,358.0,99788.0
20170525:0000,10.01,84.75,0.0,-0.0,0.0,287.4,1.52,360.0,99846.0
20170525:0100,9.57,86.25,0.0,-0.0,0.0,296.6,1.45,3.0,99905.0
20170525:0200,9.21,87.15,0.0,-0.0,0.0,297.4,1.52,6.0,99945.0
20170525:0300,9.01,87.55,5.0,0.0,5.0,294.0,1.45,6.0,99994.0
20170525:0400,9.54,88.2,148.0,434.28,61.0,294.8,0.97,6.0,100023.0
20170525:0500,11.85,76.6,270.0,582.98,84.0,295.0,0.83,358.0,100062.0
20170525:0600,13.77,66.65,251.0,116.59,200.0,285.6,0.83,350.0,100072.0
20170525:0700,15.75,59.05,502.0,654.01,144.0,291.4,1.38,313.0,100062.0
20170525:0800,17.32,51.85,546.0,478.61,239.0,300.6,1.72,315.0,100072.0
20170525:0900,17.6,51.6,632.0,538.43,248.0,337.8,1.59,302.0,100043.0
20170525:1000,17.85,51.7,636.0,435.52,306.0,364.0,1.72,284.0,100072.0
20170525:1100,18.38,51.3,756.0,751.29,176.0,366.0,1.86,275.0,99994.0
20170525:1200,18.54,52.6,592.0,337.71,337.0,373.6,1.31,279.0,99984.0
20170525:1300,19.1,51.95,539.0,306.45,322.0,377.4,0.62,274.0,99896.0
20170525:1400,20.36,49.15,519.0,419.38,253.0,358.2,0.76,222.0,99915.0
20170525:1500,20.87,48.65,486.0,621.99,151.0,347.4,1.17,199.0,99827.0
20170525:1600,20.91,49.7,375.0,603.34,117.0,350.0,1.24,194.0,99768.0
20170525:1700,20.67,52.95,237.0,420.85,107.0,343.8,1.31,174.0,99778.0
20170525:1800,19.41,60.2,125.0,293.93,69.0,346.2,1.66,162.0,99729.0
20170525:1900,18.58,60.15,18.0,0.0,18.0,334.4,2.62,206.0,99748.0
20170525:2000,16.85,65.2,0.0,-0.0,0.0,330.8,2.62,213.0,99807.0
20170525:2100,15.46,70.25,0.0,-0.0,0.0,323.2,2.21,220.0,99788.0
20170525:2200,14.51,75.05,0.0,-0.0,0.0,322.6,1.59,231.0,99866.0
20170525:2300,13.48,81.45,0.0,-0.0,0.0,307.4,1.17,251.0,99886.0
20170526:0000,12.61,84.35,0.0,-0.0,0.0,301.6,0.76,298.0,99935.0
20170526:0100,11.52,87.75,0.0,-0.0,0.0,297.6,0.76,337.0,99925.0
