;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dato;1;2;3;3B;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;Date;Døgnpris;;;;;;;
04.03.2022;1691,71;1685,59;1685,00;;1685,00;1685,98;1734,64;1865,69;3712,24;3904,78;2566,08;1954,02;1864,91;1791,97;1746,09;1733,75;1727,53;1742,83;1947,70;2356,77;1968,63;1798,78;1735,62;1727,73;1724,67;04.03.2022;2001,57;;;;;;;
05.03.2022;1757,64;1751,75;1750,18;;1751,16;1755,19;1776,99;1799,08;1826,87;1861,83;1931,26;1902,09;1832,37;1818,23;1804,88;1796,04;1794,66;1810,28;1913,29;2043,59;1931,06;1860,65;1821,18;1790,93;1772,57;05.03.2022;1827,24;;;;;;;
06.03.2022;1854,94;1840,78;1837,07;;1837,46;1840,69;1858,94;1866,36;1855,91;1867,34;1878,56;1877,98;1865,97;1869,58;1863,53;1859,62;1860,99;1861,38;1874,17;1916,54;1915,86;1911,95;1916,73;1896,23;1879,93;06.03.2022;1871,19;;;;;;;
07.03.2022;1847,81;1840,10;1836,19;;1836,88;1841,27;1875,15;2197,50;4856,75;4871,89;4569,06;3307,47;2023,44;1951,49;1919,86;1865,29;1872,61;1884,81;1961,74;1979,02;2096,17;1953,15;1918,20;1880,32;1853,67;07.03.2022;2334,99;;;;;;;
08.03.2022;2053,76;2036,25;2030,67;;2031,85;2042,02;2176,52;2318,55;6533,37;6160,98;3912,08;2241,18;2084,77;2033,22;2024,22;2103,06;2101,40;2090,34;2267,10;2676,07;2446,20;2239,22;2178,87;2111,86;1977,85;08.03.2022;2577,98;;;;;;;
09.03.2022;2078,98;2077,71;2078,29;;2086,41;2092,47;2177,43;2324,37;2512,08;2781,81;2392,71;2279,30;2243,71;2221,52;2179,68;2152,11;2156,41;2123,26;2200,69;2252,80;2218,00;2172,93;2138,42;2089,63;2060,30;09.03.2022;2212,13;;;;;;;
10.03.2022;2103,03;2092,35;2083,43;;2090,88;2101,16;2150,53;2184,04;2274,06;2281,99;2226,45;2138,39;2039,16;1967,65;1921,41;1965,10;2019,76;2120,27;2164,35;2191,19;2164,15;2032,01;1969,81;1936,30;1920,73;10.03.2022;2089,09;;;;;;;
11.03.2022;1840,74;1852,92;1843,11;;1841,13;1802,99;1915,13;1918,90;1977,15;1977,05;1970,02;1945,75;1889,18;1874,91;1865,50;1842,82;1806,86;1875,31;1926,03;1954,56;1956,44;1951,99;1949,81;1919,99;1875,11;11.03.2022;1898,89;;;;;;;
12.03.2022;1708,07;1704,64;1677,60;;1678,97;1705,03;1719,43;1758,23;1755,39;1766,95;1773,22;1778,61;1737,75;1749,12;1748,63;1733,44;1763,52;1797,71;1879,52;2000,13;1946,14;1800,16;1784,59;1792,42;1753,04;12.03.2022;1771,35;;;;;;;
13.03.2022;1692,75;1677,00;1584,49;;1525,04;1398,37;1302,31;1399,75;1527,50;1599,54;1604,56;1595,80;1605,75;1598,56;1575,14;1601,61;1660,17;1699,44;1751,70;1820,60;1802,78;1746,00;1724,34;1754,26;1778,47;13.03.2022;1626,08;;;;;;;
14.03.2022;1779,75;1774,14;1776,70;;1781,53;1810,56;1870,60;1995,59;2122,36;2259,66;2094,41;2009,86;1979,16;1973,35;1967,84;1968,33;1969,22;1977,88;2015,18;2073,15;2056,22;2035,75;2004,94;1972,27;1964,88;14.03.2022;1968,06;;;;;;;
15.03.2022;1924,95;1921,30;1921,10;;1918,34;1923,07;2021,83;2111,42;2989,97;3109,72;2406,80;2115,85;2054,25;2009,21;1982,21;1980,83;1994,73;2031,68;2100,48;2332,88;2127,78;2080,27;2009,12;1981,12;1942,79;15.03.2022;2124,65;;;;;;;
16.03.2022;1855,97;1836,47;1828,16;;1820,14;1825,49;1883,89;2002,78;2458,93;2368,75;2114,14;2005,75;1960,90;1926,75;1902,10;1888,64;1885,67;1887,26;1951,01;1950,51;1885,08;1820,04;1724,71;1687,89;1640,97;16.03.2022;1921,33;;;;;;;
17.03.2022;1590,50;1581,80;1556,35;;1560,81;1613,71;1649,19;1683,70;1739,85;1746,00;1706,19;1717,35;1709,47;1692,20;1702,60;1723,66;1730,75;1746,12;1801,27;1864,07;1881,07;1871,61;1856,85;1793,81;1777,31;17.03.2022;1720,68;;;;;;;
18.03.2022;1720,13;1686,58;1693,96;;1710,94;1736,73;1778,15;1829,08;1868,81;1880,79;1868,17;1844,79;1833,49;1819,78;1799,01;1792,41;1793,38;1810,33;1822,68;1832,54;1836,90;1823,70;1811,26;1779,11;1762,46;18.03.2022;1797,30;;;;;;;
19.03.2022;1785,52;1765,28;1744,42;;1735,86;1739,64;1727,41;1725,88;1696,83;1649,98;1620,14;1582,30;1560,95;1562,57;1535,03;1505,19;1501,67;1512,03;1605,77;1655,52;1642,25;1602,83;1602,28;1598,30;1592,26;19.03.2022;1635,41;;;;;;;
20.03.2022;1579,03;1604,01;1573,71;;1550,31;1561,91;1572,82;1593,07;1591,85;1570,31;1597,95;1607,56;1594,54;1575,02;1574,25;1571,70;1571,29;1595,08;1597,66;1605,71;1608,87;1606,73;1599,98;1586,35;1573,13;20.03.2022;1585,95;;;;;;;
